version,date,strategy,trades,net_profit,pf,max_dd,win_rate,avg_win,avg_loss,max_win,max_loss,total_trades
V27,2020-01-01_to_2026-01-01,Warden,20,4242.53,3.60,,,,,,,167
V27,2020-01-01_to_2026-01-01,Reaper,84,792.27,2227,,,,,,,167
V27,2020-01-01_to_2026-01-01,Silicon-X,52,230.67,1.62,,,,,,,167
V27,2020-01-01_to_2026-01-01,Titan,5,19.09,2.43,,,,,,,167
V27,2020-01-01_to_2026-01-01,Mean Reversion,9,0.22,1.05,,,,,,,167
V27,2020-01-01_to_2026-01-01,SYSTEM,,,,,9.12,87.43,,,,167
V34,2020-01-01_to_2026-02-01,Silicon-X,78,514.29,2.66,,,,,,,156
V34,2020-01-01_to_2026-02-01,Reaper,82,778.47,18404.53,,,,,,,156
V34,2020-01-01_to_2026-02-01,Warden,0,0,0,,,,,,,156
V34,2020-01-01_to_2026-02-01,Titan,0,0,0,,,,,,,156
V34,2020-01-01_to_2026-02-01,Mean Reversion,0,0,0,,,,,,,156
V34,2020-01-01_to_2026-02-01,Chronos,0,0,0,,,,,,,156
V34,2020-01-01_to_2026-02-01,SYSTEM,,,,,3.25,92.95,,,$59.20,-$204.90,156
V34.1,2020-01-01_to_2026-02-01,SYSTEM,,,,,3.25,92.95,,,$59.20,-$204.90,156
V34.2,2020-01-01_to_2026-02-01,PENDING,,,,,,,,,
V34.3,2020-01-01_to_2026-02-01,PENDING,,,,,,,,,
